,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Parameters,Inference (ms)
Custom CNN,0.998,0.9973368841544608,0.9986666666666667,0.9980013324450366,0.9999526666666667,456385.0,19.83
MobileNetV2,0.9991666666666666,0.9990003332222592,0.9993333333333333,0.9991668055324112,0.9999927777777777,2586177.0,126.82
ResNet50,0.9921666666666666,0.9959690964057776,0.9883333333333333,0.992136523339468,0.999549,24112513.0,114.53
